Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
90,1900.9479291439056,-531.50867,0.15983063,-1594.0919,0.32353097,0.060062274,-0.5430541,0.06765724,0.05734311,0.108979285,0.17053725
91,1922.5996346473694,-635.49786,0.17073262,-1905.9236,0.3606368,0.06280382,-0.84142196,0.07052795,0.058131468,0.27153993,0.15226991
92,1943.5741212368011,-515.5074,0.1591208,-1545.9497,0.31570637,0.06860501,-0.79596376,0.06935186,0.059448976,0.22350603,0.1554111
93,1963.998302936554,-503.02026,0.16346969,-1508.4468,0.30956742,0.060522232,-0.65912807,0.06864714,0.05677686,0.04518771,0.17682064
94,1984.31494140625,-373.35632,0.16100048,-1118.7122,0.26657414,0.07074364,-0.931815,0.078153916,0.07914182,-0.425017,0.22810781
95,2004.4908323287964,-392.01392,0.16041772,-1175.356,0.27732587,0.06305694,-0.883096,0.07119755,0.061028454,0.197321,0.16079873
96,2024.6164953708649,-408.20023,0.16034761,-1224.0814,0.28497028,0.057830296,-0.58946574,0.06916639,0.0590044,0.070152104,0.1763769
97,2045.1697144508362,-686.9742,0.17054339,-2059.7092,0.37893173,0.071222134,-1.5436993,0.08208371,0.06009823,0.3303764,0.14002748
98,2065.2718782424927,-521.28876,0.15988009,-1563.342,0.32363355,0.061974723,-0.5459409,0.065656416,0.062639475,0.021642923,0.1824034
99,2085.8484802246094,-506.32516,0.1603412,-1518.4783,0.317351,0.06559142,-0.58926845,0.065798394,0.057154156,0.09208739,0.17211513
100,2106.4243919849396,-644.4699,0.16211155,-1932.975,0.3599117,0.0737559,-0.42372286,0.064202584,0.06679666,-0.011068821,0.18452807
