Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
66,379.27334451675415,-465.75613,0.16784461,-1319.2626,0.29816702,0.095240206,-76.87518,0.56980836,0.09409999,-1.1307349,0.2936178
67,384.84355568885803,-607.4505,0.17467785,-1737.7559,0.348311,0.09444366,-82.73386,0.59341323,0.091666736,-1.8618455,0.34610793
68,393.8666684627533,-564.54266,0.17020364,-1608.7908,0.3332614,0.095105715,-82.7421,0.5930434,0.092056334,-2.0951293,0.36123165
69,401.5915071964264,-617.32477,0.17135085,-1761.1436,0.34985745,0.09444566,-88.55885,0.6144181,0.093772955,-2.2719607,0.37226337
70,408.5614664554596,-569.3337,0.1694798,-1618.411,0.33381945,0.09325714,-87.89865,0.6122964,0.092669874,-1.6912324,0.3351226
71,416.5461905002594,-632.41693,0.17402154,-1806.7885,0.35487974,0.093849614,-88.431984,0.61401933,0.089672804,-2.0303864,0.35729125
72,421.53553915023804,-553.821,0.16898088,-1571.4332,0.32860777,0.09345851,-88.05083,0.6127404,0.09031835,-1.9790518,0.35468003
73,428.63484382629395,-637.87665,0.17350245,-1811.5344,0.35599208,0.09243347,-100.01041,0.65515804,0.090933464,-2.08504,0.36081347
74,435.2066853046417,-586.7786,0.17286876,-1652.5706,0.33897367,0.09606636,-105.08762,0.6734087,0.09301832,-2.6777935,0.39829937
75,441.66999888420105,-580.22314,0.16760008,-1637.8082,0.33595234,0.09195275,-100.58747,0.65726393,0.089359276,-2.2737367,0.37324062
76,450.13034772872925,-709.32153,0.1776226,-2017.2043,0.37616038,0.09585477,-107.95826,0.682953,0.09214325,-2.8019705,0.4058137
77,457.44721126556396,-609.6851,0.16856015,-1731.4949,0.34685284,0.093280345,-95.0659,0.63869935,0.089494124,-2.4946728,0.38694242
78,466.03284311294556,-543.4126,0.16882414,-1515.7034,0.3229041,0.09476806,-111.60105,0.6946247,0.0918515,-2.9333737,0.41467607
79,471.369345664978,-446.6061,0.1684845,-1235.3418,0.288878,0.091509685,-101.75989,0.66236126,0.08921585,-2.716662,0.40075016
80,476.5662851333618,-604.66547,0.16986533,-1713.1055,0.34525216,0.09195922,-98.28653,0.65045655,0.08777993,-2.604328,0.3948369
81,482.2359867095947,-604.51874,0.16846173,-1708.0638,0.34534016,0.09118523,-102.88009,0.6655903,0.08814709,-2.612166,0.39532644
82,487.6105782985687,-528.1429,0.16882314,-1461.8319,0.31692713,0.09506617,-119.251976,0.7185385,0.09024982,-3.3448653,0.4384538
83,493.09551906585693,-504.11893,0.16727449,-1410.7383,0.311029,0.09257344,-98.38731,0.6500264,0.09081231,-3.2312512,0.43237793
84,498.5410313606262,-618.41547,0.16976,-1747.6232,0.34858605,0.09134792,-104.57512,0.67102396,0.087086864,-3.048202,0.42193726
85,504.2779793739319,-666.42596,0.1697667,-1882.2778,0.36296356,0.09239068,-113.33151,0.699282,0.08810626,-3.668446,0.45714957
86,509.85012650489807,-657.48956,0.17113313,-1854.4006,0.36048326,0.09200061,-114.70914,0.7044785,0.08680782,-3.359026,0.43948048
87,517.75679063797,-626.9891,0.17133492,-1756.3174,0.35076058,0.08956266,-121.45375,0.7249115,0.08762679,-3.196187,0.43056905
88,526.9558730125427,-602.067,0.16825514,-1699.864,0.34465373,0.091350324,-103.374756,0.6672031,0.08977098,-2.9622915,0.41699874
89,532.0477414131165,-573.8872,0.16741638,-1602.3519,0.33310792,0.08949387,-116.11069,0.708852,0.087980695,-3.1989264,0.43147334
90,536.572751045227,-650.4232,0.17084087,-1843.9758,0.35899124,0.09200544,-104.13086,0.6699577,0.08962134,-3.162994,0.4288676
91,541.4266664981842,-557.8788,0.1671546,-1547.7363,0.32698762,0.08869547,-121.56332,0.7268285,0.089928135,-4.3366685,0.49107182
92,546.7041323184967,-658.0704,0.16941491,-1855.0144,0.35943714,0.08950551,-115.2429,0.7059316,0.087880485,-3.9536881,0.47182068
93,554.769129037857,-533.2551,0.16687039,-1482.0901,0.3181699,0.09077961,-113.73579,0.70129585,0.086089514,-3.9394426,0.47025016
94,562.8214111328125,-598.6429,0.16738302,-1681.3123,0.34099227,0.08893577,-111.34154,0.6943599,0.08821696,-3.2748184,0.4360232
95,570.2528576850891,-690.3784,0.16964234,-1949.6709,0.3690563,0.08991338,-117.82738,0.71546346,0.09042989,-3.6369762,0.45535085
96,577.0718595981598,-603.9786,0.16910972,-1692.3008,0.34250814,0.08981886,-114.96535,0.7064003,0.08781836,-4.66958,0.5076061
97,583.3671276569366,-681.9721,0.17032424,-1908.7607,0.3654153,0.0888218,-132.7373,0.7602643,0.087896705,-4.418363,0.49607587
98,589.4124736785889,-679.076,0.16788623,-1890.5706,0.36402306,0.089499004,-140.43692,0.7834004,0.09252955,-6.2205796,0.5777276
99,596.468644618988,-573.6441,0.16709483,-1595.5907,0.33241954,0.09055716,-120.89542,0.7253437,0.08654184,-4.4461575,0.49760017
100,604.8419570922852,-705.5572,0.16963038,-1985.7157,0.37344152,0.0890527,-125.981316,0.74047565,0.08819587,-4.974723,0.5230397
