Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
69,496.0281238555908,-270.31854,0.17435828,-791.4008,0.22634627,0.096493594,-18.904295,0.2726321,0.099269345,-0.6505413,0.2279792
70,504.8532359600067,-277.63187,0.1730736,-814.6588,0.22978204,0.09852764,-17.551384,0.2649187,0.093913205,-0.68545485,0.23118909
71,511.92797350883484,-257.96246,0.17206076,-754.9934,0.22102608,0.097046,-18.224764,0.26863286,0.09371621,-0.6692107,0.2317495
72,520.1933608055115,-257.59418,0.17257318,-753.0148,0.22124638,0.09635706,-19.002037,0.27326468,0.09302752,-0.7657592,0.23891225
73,527.2583022117615,-255.18886,0.17235743,-746.37714,0.21936476,0.09700388,-18.51953,0.27054766,0.093226396,-0.66992736,0.23341785
74,534.4841797351837,-238.42242,0.171901,-695.292,0.21081491,0.096516564,-19.285805,0.27335542,0.09443386,-0.68946767,0.23501474
75,543.9557321071625,-282.9387,0.17420723,-825.8721,0.2335325,0.09653471,-22.225706,0.28948882,0.09220543,-0.7183423,0.23723756
76,549.6407673358917,-277.78867,0.17309296,-810.79895,0.23135221,0.0939476,-21.721079,0.29017788,0.09237998,-0.8460163,0.24758677
77,555.216020822525,-247.65118,0.17306928,-723.4646,0.21793403,0.09636316,-18.798046,0.2709916,0.09159312,-0.6909319,0.23291466
78,562.5320048332214,-245.17314,0.17331606,-712.37244,0.21590467,0.0952632,-22.407919,0.2907879,0.090915106,-0.73908484,0.23954228
79,571.2506003379822,-287.8942,0.17414203,-843.5628,0.23806569,0.09584121,-19.374115,0.2733819,0.09104521,-0.7457502,0.24165978
80,579.1494760513306,-238.02544,0.17224723,-689.99274,0.21131136,0.0954365,-23.24181,0.29346758,0.09220484,-0.8417262,0.25261188
81,585.904819726944,-231.1388,0.17195493,-674.125,0.2097391,0.096242405,-18.570187,0.2685466,0.090319276,-0.72116375,0.23681206
82,594.6108663082123,-238.64217,0.17236337,-696.30066,0.21383557,0.09898924,-18.93688,0.27396032,0.08987496,-0.68896604,0.23549354
83,603.1961493492126,-254.02153,0.17361128,-743.64374,0.22167355,0.097594775,-17.76604,0.26389968,0.091398664,-0.65478814,0.23417853
84,609.6772623062134,-246.77472,0.17196405,-720.0216,0.21761985,0.09560247,-19.560114,0.2728823,0.089217186,-0.7424433,0.24205446
85,618.2822029590607,-255.32976,0.17282076,-743.1327,0.22161604,0.09264263,-22.055988,0.28937098,0.08888119,-0.80058146,0.2473482
86,628.1160614490509,-169.17274,0.17634274,-487.85526,0.17238103,0.0975702,-18.89558,0.27273583,0.08800857,-0.7674092,0.24348721
87,634.8526468276978,-242.2126,0.1710551,-703.67883,0.21269949,0.09292617,-22.132284,0.28977388,0.08927106,-0.82669663,0.25272104
88,640.2466614246368,-186.09753,0.17383872,-537.83014,0.18329789,0.09433776,-19.680481,0.27496037,0.089801066,-0.7819551,0.24622962
89,646.0262434482574,-278.23233,0.17493087,-814.2403,0.23356473,0.094974436,-19.757774,0.274624,0.08801861,-0.69891226,0.23986796
90,653.6978254318237,-264.8879,0.17382148,-772.82733,0.22693679,0.09266429,-21.091228,0.28212678,0.091170594,-0.74516284,0.2477944
91,662.9286916255951,-279.59598,0.17278767,-816.3336,0.23295039,0.093957216,-21.675755,0.28189442,0.08983922,-0.77851045,0.25075272
92,671.8417041301727,-289.05655,0.17433023,-850.03784,0.23897272,0.0990419,-16.49813,0.25107637,0.08867385,-0.6336634,0.232617
93,684.3141584396362,-318.47586,0.17449167,-936.22015,0.25232387,0.095635585,-18.517708,0.26615503,0.08779287,-0.68971455,0.23928608
94,692.7590386867523,-227.00908,0.1723323,-656.8783,0.2071685,0.09333804,-23.32225,0.29135865,0.08873034,-0.8266537,0.2559558
95,698.3529601097107,-278.48456,0.17427571,-815.33655,0.23448712,0.09475209,-19.279837,0.2706759,0.08842953,-0.8372561,0.25399497
96,703.980836391449,-251.75496,0.17278402,-733.5966,0.21975844,0.093261845,-20.891201,0.27835074,0.08879517,-0.77707803,0.25086072
97,713.3523097038269,-238.00026,0.17180698,-690.54193,0.21223336,0.091363326,-22.57833,0.28988883,0.08775696,-0.88054895,0.2583605
98,724.1966013908386,-348.3994,0.17703708,-1021.51227,0.26423407,0.09194552,-22.890299,0.28944117,0.087926015,-0.79565454,0.25003448
99,729.9728107452393,-283.16953,0.17251061,-828.5708,0.23564756,0.094073,-20.100906,0.27931044,0.08605681,-0.8368257,0.2533199
100,737.1883172988892,-251.8999,0.1722786,-732.6849,0.2207221,0.09179213,-22.161562,0.28628877,0.08718835,-0.8532709,0.2569474
