Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
65,495.30736231803894,-898.7569,0.1765009,-2426.7358,0.41135877,0.11833675,-258.4283,1.068671,0.105795115,-11.106645,0.7535586
66,500.9020321369171,-813.04663,0.1721948,-2192.716,0.38936687,0.12106947,-237.34486,1.0229919,0.11083547,-9.0788,0.6832509
67,506.1391170024872,-843.01447,0.17283739,-2274.6084,0.39748508,0.117246136,-244.47218,1.038367,0.104559034,-9.9629345,0.7151158
68,511.0583806037903,-726.02814,0.17050087,-1921.2361,0.36303338,0.11538912,-246.5919,1.0430753,0.10457482,-10.256539,0.7247943
69,519.2047109603882,-751.26294,0.17075945,-1979.4169,0.36856955,0.11418984,-263.47284,1.0787923,0.1040374,-10.899082,0.74655735
70,527.4554133415222,-832.8755,0.17259586,-2228.8699,0.3942823,0.11567202,-258.92456,1.0691268,0.10470092,-10.832045,0.7446052
71,535.8686926364899,-793.4729,0.17071356,-2101.1226,0.38142362,0.11333131,-268.57132,1.0887455,0.102541566,-10.72475,0.74155587
72,542.896234035492,-828.8875,0.17164643,-2192.728,0.38973516,0.11711827,-282.3393,1.1168431,0.1052099,-11.595253,0.76987505
73,549.6671805381775,-776.27423,0.16995458,-2044.8007,0.37362212,0.11433636,-273.4184,1.0987858,0.1024332,-10.603864,0.7371277
74,556.3442747592926,-989.75757,0.17883603,-2707.2766,0.43639573,0.1182779,-251.4253,1.0526986,0.103119604,-10.570799,0.7359236
75,564.6477286815643,-776.2471,0.17050655,-2044.3422,0.3756833,0.11171642,-273.23846,1.0975515,0.10188882,-11.160741,0.75576
76,571.6536965370178,-834.7793,0.17007934,-2214.9697,0.39263374,0.11259037,-278.7181,1.1090711,0.10394713,-10.650249,0.73913234
77,578.6159851551056,-819.5346,0.1693422,-2176.6777,0.3873943,0.111538336,-271.66693,1.0945138,0.102928095,-10.259153,0.725947
78,586.908777475357,-855.2976,0.17082816,-2277.1663,0.39743385,0.1103494,-278.37323,1.108203,0.10237472,-10.353167,0.7289643
79,593.1271715164185,-809.2407,0.16945006,-2134.41,0.38439128,0.11110787,-281.68497,1.1150812,0.10200078,-11.627127,0.77141035
80,598.5435991287231,-890.5437,0.1721628,-2385.036,0.40675336,0.111599304,-275.62555,1.1024137,0.10186096,-10.969639,0.750424
81,605.1189942359924,-910.86694,0.17134498,-2438.9224,0.41150153,0.10974518,-283.1017,1.1174803,0.10393355,-10.576589,0.73641974
82,614.7937369346619,-895.5629,0.17354593,-2386.8877,0.40795094,0.11399016,-288.059,1.1277564,0.10215405,-11.741845,0.77509594
83,631.1607372760773,-922.6719,0.17099355,-2471.384,0.41511303,0.10986007,-285.53806,1.1228567,0.10052157,-11.093496,0.75389814
84,638.6188888549805,-899.92456,0.17077568,-2373.3623,0.40630624,0.11508996,-314.13657,1.1783096,0.10389684,-12.274824,0.7918113
85,643.7236878871918,-897.9417,0.16991328,-2388.6074,0.40771195,0.10750278,-293.83075,1.1390693,0.10046974,-11.3868475,0.7633163
86,648.8596858978271,-933.62714,0.17163292,-2494.4517,0.41822413,0.10772556,-295.08984,1.1412021,0.10111342,-11.339866,0.76186574
87,654.4187407493591,-775.2281,0.16945902,-2008.6089,0.37039787,0.109765485,-305.41812,1.1610665,0.10368807,-11.657165,0.7725968
88,660.6132607460022,-892.7112,0.17022124,-2353.1472,0.40595835,0.10657817,-312.5819,1.1749424,0.09833596,-12.404524,0.79627454
89,666.8405609130859,-905.73346,0.16961306,-2408.868,0.41110396,0.10737862,-297.21945,1.1451279,0.10197663,-11.112927,0.7542436
90,672.4391255378723,-855.0705,0.16836394,-2235.712,0.39267346,0.104981154,-316.5308,1.1824753,0.09773984,-12.968655,0.81370246
91,677.6933887004852,-847.6863,0.16825898,-2208.7534,0.3901862,0.10338777,-321.64502,1.1919858,0.09813362,-12.660408,0.80425835
92,683.4925267696381,-948.5114,0.17147763,-2507.507,0.4212143,0.10337258,-325.02664,1.1983379,0.09746352,-13.000499,0.8150138
93,689.929162979126,-970.00433,0.16930805,-2561.404,0.4238323,0.10046231,-336.07394,1.2181752,0.09784344,-12.534792,0.8008658
94,696.8088641166687,-925.96246,0.16952801,-2453.1702,0.41500196,0.10423809,-312.10995,1.173245,0.09664023,-12.607354,0.802607
95,707.9213395118713,-1024.2665,0.17047308,-2723.8901,0.43786183,0.1019944,-336.1995,1.2181599,0.0959332,-12.71004,0.80599505
96,714.1921365261078,-1029.2498,0.17017737,-2748.7102,0.43957213,0.10305145,-326.093,1.1992486,0.09712498,-12.946104,0.81285685
97,719.7986998558044,-1026.9392,0.17074831,-2737.0486,0.44053617,0.102537245,-329.79086,1.2060784,0.09494091,-13.978381,0.84401053
98,725.570479631424,-1044.6188,0.16985403,-2757.7769,0.44086757,0.1015913,-361.49637,1.2635838,0.095608145,-14.582934,0.8615816
99,731.9544637203217,-1052.3593,0.17181365,-2800.5984,0.4459255,0.09998006,-342.58212,1.2285604,0.095376514,-13.897187,0.8406076
100,740.6880028247833,-1016.9958,0.16969378,-2702.7522,0.4387698,0.103488944,-335.99594,1.215707,0.10361175,-12.239233,0.79057264
