Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
90,1640.3666322231293,-749.12933,0.16285828,-2245.6272,0.39302486,0.07189054,-1.9978375,0.08903925,0.058731854,0.23713529,0.1551744
91,1656.7419295310974,-580.6694,0.15701933,-1741.7675,0.3474595,0.06192489,-0.59437037,0.064655796,0.058509555,0.35378057,0.14255399
92,1672.8934421539307,-525.2266,0.16076337,-1575.5065,0.32383308,0.07460093,-0.37366593,0.064876325,0.05971227,0.20017445,0.15725769
93,1688.7829384803772,-575.5162,0.15774661,-1725.7428,0.3454096,0.06685342,-1.2270904,0.073773555,0.05807327,0.421341,0.13607125
94,1704.39994597435,-484.6163,0.15977147,-1453.3641,0.3072743,0.060192626,-0.66810954,0.06569182,0.057365663,0.18339169,0.16493352
95,1720.3018753528595,-831.1968,0.16755827,-2492.8667,0.41256097,0.06311778,-1.0909107,0.07181473,0.05548511,0.36725992,0.13963522
96,1736.2240481376648,-617.78046,0.16325378,-1852.9191,0.3503577,0.061703406,-0.69303703,0.065326445,0.055339135,0.27071708,0.15295866
97,1752.5636131763458,-528.90656,0.15795565,-1586.0763,0.32492265,0.064742826,-0.8917476,0.0706282,0.059348196,0.24841154,0.15119226
98,1768.4844303131104,-371.47458,0.16064002,-1113.8684,0.26935738,0.063070856,-0.45493972,0.064536765,0.063600644,-0.10028708,0.1944911
99,1784.7808356285095,-497.6482,0.15836693,-1492.3187,0.3137763,0.06191051,-0.8398298,0.06819064,0.05867257,0.21403927,0.15673266
100,1801.3810596466064,-518.9606,0.15836817,-1556.5604,0.32268935,0.059270196,-0.6109308,0.06622596,0.06127845,0.28971756,0.15052973
