Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
65,1514.855696439743,-584.58295,0.16185303,-1753.106,0.33582258,0.06402935,-0.9820237,0.074892364,0.060464703,0.33907652,0.14138329
66,1533.812566280365,-572.0355,0.16029899,-1715.2345,0.33862528,0.062366724,-1.1230471,0.077628195,0.059665628,0.2509809,0.15135814
67,1553.0989792346954,-667.9317,0.16602325,-2002.8188,0.37244546,0.06907375,-1.3778238,0.080833,0.05913852,0.4016487,0.13574785
68,1575.8471195697784,-854.84576,0.17282431,-2563.7039,0.41807464,0.06423986,-1.0373962,0.07445458,0.056796577,0.20378286,0.1595632
69,1598.0820553302765,-428.80038,0.16141188,-1285.1648,0.2886507,0.06739633,-0.98697066,0.074806504,0.077713706,-0.24943602,0.21299668
70,1618.8943240642548,-514.9227,0.16000879,-1544.1366,0.32097706,0.064257346,-0.94339395,0.07445159,0.05968328,0.3118248,0.14356273
71,1641.1388981342316,-779.97235,0.17287499,-2336.9502,0.3969503,0.08616262,-3.3245316,0.11199951,0.061994158,0.35764354,0.13681215
72,1662.099240064621,-628.70355,0.16297387,-1885.2032,0.35962728,0.067845546,-1.2720535,0.078320734,0.060965095,0.36462438,0.13685596
73,1683.799348115921,-345.86475,0.16658488,-1036.2897,0.24006723,0.06675039,-1.2369072,0.082544364,0.06268916,-0.06765211,0.19084264
74,1708.775552034378,-509.7742,0.16484173,-1528.6434,0.31535128,0.06280394,-0.84215057,0.07207729,0.057372067,0.1630106,0.16173725
75,1731.2718887329102,-646.30945,0.16457467,-1938.0839,0.36404037,0.06592026,-0.9569665,0.073456,0.05672334,0.11243504,0.17113964
76,1751.7513909339905,-608.52905,0.16512258,-1824.2749,0.35069296,0.06950627,-1.3256462,0.07856567,0.05940374,0.013485551,0.17990857
77,1777.6049311161041,-632.3011,0.16630013,-1896.0437,0.36094365,0.071215235,-1.261651,0.07729973,0.06495308,0.40193123,0.1335864
78,1801.3236045837402,-522.2871,0.16181085,-1565.934,0.32304245,0.067303196,-1.1009128,0.08023987,0.05779771,0.17354691,0.16271333
79,1823.2517783641815,-473.60632,0.1631231,-1419.7115,0.30106047,0.061791938,-1.1201036,0.07789198,0.058186978,0.01266706,0.18322375
