Design,placement_id,raw_nodes,cluster_nodes,compression_ratio,raw_degree,cluster_degree,center_shift
aes,aes_run_20260123_233734,21422,1122,19.092691622103388,0.4182616002240687,1.6827094474153297,0.044764202
aes,aes_run_20260123_234531,23615,1064,22.19454887218045,0.3696802879525725,1.919172932330827,0.012613719
aes,aes_run_20260123_235343,15652,893,17.52743561030235,0.4854970610784564,2.098544232922732,0.039099317
aes,aes_run_20260124_092539,22211,1264,17.571993670886076,0.40128765026338303,1.8101265822784811,0.080808185
aes,aes_run_20260124_093459,22211,1031,21.543161978661495,0.39903651343928687,2.0310378273520855,0.021815155
aes,aes_run_20260124_094804,20791,1115,18.64663677130045,0.41989322302919535,2.5686098654708522,0.09262588
aes,aes_run_20260124_100505,23615,1251,18.87689848121503,0.3715858564471734,1.6962430055955235,0.07041819
aes,aes_run_20260124_101347,23615,1140,20.714912280701753,0.3709930129155198,1.8192982456140352,0.0681069
aes,aes_run_20260124_102051,21422,1058,20.247637051039696,0.413313416114275,1.6994328922495274,0.020908248
aes,aes_run_20260124_102637,15652,937,16.70437566702241,0.4861359570661896,2.0213447171824974,0.09042491
aes,aes_run_20260124_103050,15652,1048,14.935114503816793,0.4850498338870432,2.036259541984733,0.09791309
aes,aes_run_20260124_103512,15652,961,16.28720083246618,0.4821748019422438,1.987513007284079,0.11575795
aes,aes_run_20260124_103955,20791,1070,19.430841121495327,0.4192198547448415,2.5682242990654207,0.09395494
aes,aes_run_20260124_104441,22211,1087,20.433302667893283,0.40043221827022646,2.012879484820607,0.05624073
aes,aes_run_20260124_105027,20791,1153,18.03209019947962,0.42157664374007986,2.6504770164787512,0.06361191
aes,aes_run_20260124_105526,22211,1087,20.433302667893283,0.3948944216829499,1.9484820607175712,0.072990015
aes,aes_run_20260124_112846,15471,828,18.684782608695652,0.495766272380583,2.4323671497584543,0.025772005
aes,aes_run_20260124_113807,21422,1132,18.924028268551236,0.41854168611707593,1.7667844522968197,0.036191188
aes,aes_run_20260124_114612,21422,1078,19.871985157699445,0.41634767995518623,1.7272727272727273,0.03841932
aes,aes_run_20260124_115537,23516,1042,22.56813819577735,0.3717043714917503,1.8809980806142035,0.03343102
aes,aes_run_20260124_120407,20791,1132,18.36660777385159,0.42047039584435575,2.570671378091873,0.09640645
aes,aes_run_20260124_121126,23516,1114,21.10951526032316,0.37480864092532745,1.727109515260323,0.012028475
aes,aes_run_20260124_122140,15652,1068,14.655430711610487,0.4848581650907232,1.9588014981273407,0.09250555
aes,aes_run_20260124_125104,23615,1156,20.42820069204152,0.3690450984543722,1.8131487889273357,0.011732045
aes,aes_run_20260124_125746,22211,1064,20.875,0.3978208995542749,1.8421052631578947,0.05939205
aes,aes_run_20260124_130250,15652,940,16.651063829787233,0.48441093789931,1.995744680851064,0.07754412
aes,aes_run_20260124_130715,20791,1042,19.952975047984644,0.4183540955221009,2.6621880998080614,0.094472304
aes,aes_run_20260124_131154,21422,1125,19.041777777777778,0.4196153487069368,1.7582222222222221,0.038711738
aes,aes_run_20260124_131711,23615,1132,20.8613074204947,0.37018843955113273,1.9240282685512367,0.05489485
aes,aes_run_20260124_132343,15471,1106,13.988245931283906,0.4980932066446901,2.325497287522604,0.073624834
aes,aes_run_20260124_132806,21422,1078,19.871985157699445,0.41807487629539725,1.8256029684601114,0.028917111
aes,aes_run_20260124_133414,20791,1162,17.892426850258175,0.4186426819296811,2.6712564543889843,0.075500436
aes,aes_run_20260124_133855,15471,894,17.30536912751678,0.4975761101415552,2.4675615212527964,0.04078711
aes,aes_run_20260124_134400,15471,1060,14.595283018867924,0.4954430870661237,2.3,0.07208898
aes,aes_run_20260124_141838,23615,1088,21.704963235294116,0.3672242218928647,1.8970588235294117,0.058266606
aes,aes_run_20260124_142736,23615,1181,19.995766299745977,0.37226339191192037,1.8983911939034717,0.0071200524
aes,aes_run_20260124_143755,20791,1085,19.16221198156682,0.42123995959790295,2.6285714285714286,0.08653168
aes,aes_run_20260124_144422,15652,1105,14.16470588235294,0.4847303858931766,1.9656108597285067,0.0863308
aes,aes_run_20260124_145035,20791,1190,17.47142857142857,0.41936414794863164,2.5865546218487396,0.10825557
aes,aes_run_20260124_145703,15532,1104,14.068840579710145,0.4862219933041463,1.9728260869565217,0.04208207
aes,aes_run_20260124_150411,15532,896,17.334821428571427,0.48796033994334276,2.075892857142857,0.030697914
aes,aes_run_20260124_151313,22211,1081,20.54671600370028,0.3980009905002026,1.9259944495837187,0.043414567
aes,aes_run_20260124_152529,15471,771,20.06614785992218,0.4987395772736087,2.6173800259403373,0.07528261
aes,aes_run_20260124_174154,20791,1268,16.396687697160882,0.4179693136453273,2.421135646687697,0.09324752
aes,aes_run_20260124_175543,23615,1154,20.46360485268631,0.3679441033241584,1.7487001733102252,0.023081867
aes,aes_run_20260124_181226,23516,1116,21.07168458781362,0.3706837897601633,1.6738351254480286,0.047329377
aes,aes_run_20260124_191146,15532,1168,13.297945205479452,0.48680144218387844,1.9006849315068493,0.038352277
aes,aes_run_20260124_191845,22211,1108,20.046028880866427,0.39538967178425105,1.8447653429602888,0.062586635
aes,aes_run_20260124_192618,22211,1241,17.897663174858984,0.4033586961415515,1.9226430298146655,0.065614976
aes,aes_run_20260124_193515,20791,1036,20.06853281853282,0.42090327545572603,2.83011583011583,0.07624803
aes,aes_run_20260124_194221,15652,1034,15.13733075435203,0.4856887298747764,2.0754352030947776,0.10086964
aes,aes_run_20260124_194826,23615,1360,17.363970588235293,0.37539699343637517,1.7602941176470588,0.023256337
aes,aes_run_20260124_200138,15652,960,16.304166666666667,0.4841553795042167,2.03125,0.10272195
aes,aes_run_20260124_201031,23516,1154,20.377816291161178,0.37315019561149854,1.7660311958405546,0.012519639
aes,aes_run_20260124_202118,15471,1031,15.005819592628516,0.49518453881455626,2.2347235693501455,0.110493205
aes,aes_run_20260124_202637,15471,895,17.286033519553072,0.49673582832396096,2.5206703910614525,0.05376798
aes,aes_run_20260124_203124,20791,1051,19.782112274024737,0.4197970275600019,2.660323501427212,0.086615786
aes,aes_run_20260124_203632,23516,1173,20.04774083546462,0.3717043714917503,1.6470588235294117,0.010874848
aes,aes_run_20260124_204225,15532,1049,14.80648236415634,0.49002060262683494,2.0285986653956147,0.117453486
aes,aes_run_20260124_204714,15471,949,16.302423603793468,0.4975761101415552,2.3308746048472075,0.061367545
aes,aes_run_20260124_205215,23516,1095,21.47579908675799,0.37059874128253106,1.795433789954338,0.009921159
aes,aes_run_20260124_205921,20791,1240,16.766935483870967,0.42051849357895243,2.4306451612903226,0.08325912
aes,aes_run_20260124_210352,23615,1090,21.665137614678898,0.3696802879525725,1.9908256880733946,0.011388442
aes,aes_run_20260124_211023,20791,1297,16.03006939090208,0.42051849357895243,2.4841942945258286,0.10598676
aes,aes_run_20260124_211450,22211,1121,19.8135593220339,0.39795596776372066,1.7698483496877788,0.057101816
aes,aes_run_20260124_212112,15471,1006,15.378727634194831,0.49091849266369336,2.2365805168986084,0.08493575
aes,aes_run_20260124_215709,15532,1068,14.543071161048688,0.48396858099407675,1.9868913857677903,0.08774442
aes,aes_run_20260124_224428,22211,1066,20.835834896810507,0.39867633154743143,1.8311444652908067,0.053888902
aes,aes_run_20260124_225317,20791,1205,17.253941908713692,0.4197008320908085,2.590871369294606,0.07052061
aes,aes_run_20260124_225947,15532,947,16.401267159450896,0.48841102240535667,2.054910242872228,0.058668002
aes,aes_run_20260124_230657,23516,1129,20.82905225863596,0.3742133015819017,1.8228520814880425,0.007640628
aes,aes_run_20260124_231719,21422,1186,18.06239460370995,0.4120530295957427,1.6947723440134908,0.0749002
aes,aes_run_20260124_232631,20791,1019,20.40333660451423,0.42013371170217884,2.690873405299313,0.09355785
aes,aes_run_20260124_233347,21422,1113,19.247079964061097,0.41854168611707593,1.8867924528301887,0.05161949
aes,aes_run_20260124_234637,15532,1010,15.378217821782178,0.48963430337368014,1.8613861386138615,0.065175
aes,aes_run_20260125_093048,23516,1239,18.979822437449556,0.3731076713726824,1.7239709443099274,0.018401023
aes,aes_run_20260125_094549,23516,1118,21.033989266547405,0.36991835346147306,1.6905187835420394,0.041161783
aes,aes_run_20260125_095408,15471,991,15.611503531786076,0.4965419171352854,2.284561049445005,0.09730968
aes,aes_run_20260125_100048,21422,1222,17.53027823240589,0.42096909718980485,1.7774140752864158,0.060145773
aes,aes_run_20260125_101009,21422,1102,19.439201451905625,0.41770142843805436,1.778584392014519,0.036861002
aes,aes_run_20260125_101817,23516,1154,20.377816291161178,0.3746810682088791,1.8804159445407278,0.02196438
aes,aes_run_20260125_102645,15471,768,20.14453125,0.4969943765755284,2.5598958333333335,0.076971546
aes,aes_run_20260125_103349,22211,1136,19.551936619718308,0.3961100355679618,1.9330985915492958,0.06872046
aes,aes_run_20260125_104355,23516,1318,17.842185128983306,0.37451097125361454,1.5462822458270107,0.068916745
aes,aes_run_20260125_110944,22211,1189,18.68040370058873,0.3941740578992391,1.9007569386038687,0.06042992
aes,aes_run_20260125_112748,20791,1124,18.497330960854093,0.4188831706026646,2.4288256227758005,0.087559186
aes,aes_run_20260125_120937,15652,1039,15.064485081809432,0.4865831842576029,2.032723772858518,0.098026566
aes,aes_run_20260125_121704,20791,1168,17.800513698630137,0.4200375162329854,2.5428082191780823,0.09000809
aes,aes_run_20260125_135859,20791,1044,19.914750957854405,0.41787311817613393,2.7796934865900385,0.10252016
aes,aes_run_20260125_140931,22211,1110,20.00990990990991,0.3962901265138895,1.9153153153153153,0.06753027
aes,aes_run_20260125_141940,15652,946,16.545454545454547,0.4853692818809098,2.031712473572939,0.07483624
aes,aes_run_20260125_142448,23615,1135,20.80616740088106,0.36764768155833155,1.8872246696035242,0.0077955606
aes,aes_run_20260125_143657,15652,1040,15.05,0.4861359570661896,1.9442307692307692,0.052345663
aes,aes_run_20260125_144119,15471,1061,14.581526861451461,0.49356861224225973,2.299717247879359,0.067166604
aes,aes_run_20260125_144635,21422,1137,18.84080914687775,0.4139669498646252,1.6376429199648197,0.040931787
sha256,sha256_run_20260128_152440,10610,896,11.841517857142858,0.7586239396795476,3.529017857142857,0.029500805
sha256,sha256_run_20260128_152730,10610,891,11.907968574635241,0.7536286522148916,3.463524130190797,0.045631725
sha256,sha256_run_20260128_153043,10610,920,11.532608695652174,0.7497643732327992,3.3978260869565218,0.045257647
sha256,sha256_run_20260128_153332,10525,859,12.252619324796274,0.7491686460807601,3.5832363213038416,0.009754484
sha256,sha256_run_20260128_153626,9284,857,10.83313885647608,0.7505385609651013,3.306884480746791,0.05653093
sha256,sha256_run_20260128_153915,9284,914,10.157549234135667,0.7558164584230935,3.3982494529540483,0.038197037
sha256,sha256_run_20260128_154202,9244,820,11.273170731707317,0.75,3.4926829268292683,0.042714886
sha256,sha256_run_20260128_154430,9244,911,10.14709110867179,0.7497836434443964,3.2184412733260155,0.030408435
sha256,sha256_run_20260128_154712,9244,851,10.862514688601646,0.7527044569450454,3.4782608695652173,0.03613044
sha256,sha256_run_20260128_154955,10610,906,11.710816777041943,0.7482563619227144,3.368653421633554,0.0581057
sha256,sha256_run_20260128_155340,9284,833,11.145258103241297,0.7550624730719517,3.404561824729892,0.048889093
sha256,sha256_run_20260128_155706,9206,794,11.594458438287154,0.7572235498587877,3.649874055415617,0.028208679
sha256,sha256_run_20260128_160051,9206,953,9.660020986358866,0.7511405605040191,3.3305351521511017,0.037084274
sha256,sha256_run_20260128_160501,10635,849,12.526501766784452,0.7555242125058769,3.597173144876325,0.045156654
sha256,sha256_run_20260128_161041,10672,897,11.897435897435898,0.7623688155922039,3.3957636566332217,0.029415412
sha256,sha256_run_20260128_161517,10610,855,12.409356725146198,0.7527803958529689,3.4994152046783626,0.020360962
sha256,sha256_run_20260128_162025,10672,814,13.11056511056511,0.7595577211394303,3.4594594594594597,0.023981662
sha256,sha256_run_20260128_162434,10610,873,12.153493699885452,0.7424128180961357,3.5166093928980526,0.05523115
sha256,sha256_run_20260128_162954,10610,896,11.841517857142858,0.7602262016965127,3.4441964285714284,0.06343005
sha256,sha256_run_20260128_163516,12243,935,13.094117647058823,0.6000163358653925,3.4481283422459894,0.039006624
sha256,sha256_run_20260128_163937,9206,865,10.642774566473989,0.7505974364544862,3.38728323699422,0.02559088
sha256,sha256_run_20260128_164446,10610,909,11.672167216721672,0.7445805843543827,3.33993399339934,0.026422555
sha256,sha256_run_20260128_164911,9244,861,10.736353077816492,0.7520553872782345,3.421602787456446,0.053451445
sha256,sha256_run_20260128_165259,10672,883,12.086070215175537,0.7607758620689655,3.4858437146092864,0.038136486
sha256,sha256_run_20260128_165745,10635,867,12.26643598615917,0.761730136342266,3.506343713956171,0.061507262
sha256,sha256_run_20260128_170233,9206,885,10.40225988700565,0.7488594394959809,3.4350282485875705,0.048144445
sha256,sha256_run_20260128_173219,10672,889,12.004499437570304,0.7572151424287856,3.46681664791901,0.03896567
sha256,sha256_run_20260128_173756,10610,883,12.015855039637598,0.7490103675777569,3.4586636466591165,0.061665848
sha256,sha256_run_20260128_174044,10635,911,11.673984632272228,0.761730136342266,3.5192096597145994,0.038206607
sha256,sha256_run_20260128_174407,9206,898,10.251670378619155,0.7483163154464479,3.4565701559020043,0.046204925
sha256,sha256_run_20260128_174708,9244,847,10.913813459268004,0.7537862397230636,3.3057851239669422,0.032606944
sha256,sha256_run_20260128_174936,10635,938,11.337953091684435,0.7550540667606959,3.513859275053305,0.043159466
sha256,sha256_run_20260128_175724,9244,864,10.699074074074074,0.7585460839463436,3.4444444444444446,0.01869056
sha256,sha256_run_20260128_180219,10525,929,11.329386437029063,0.7486935866983373,3.472551130247578,0.03463905
sha256,sha256_run_20260128_181356,9206,822,11.199513381995134,0.7447316967195308,3.5961070559610704,0.04712432
sha256,sha256_run_20260128_182450,9284,867,10.708189158016147,0.758186126669539,3.4140715109573243,0.039432522
sha256,sha256_run_20260128_182848,9284,836,11.105263157894736,0.7427832830676433,3.3421052631578947,0.025932468
sha256,sha256_run_20260128_183257,10610,850,12.48235294117647,0.744674835061263,3.508235294117647,0.045180734
sha256,sha256_run_20260128_183656,9206,927,9.930960086299892,0.747012817727569,3.3117583603020497,0.03783258
sha256,sha256_run_20260128_184043,10635,899,11.829810901001112,0.7526093088857546,3.5483870967741935,0.050146185
sha256,sha256_run_20260128_184537,10610,908,11.685022026431717,0.7409990574929312,3.3259911894273126,0.028103914
sha256,sha256_run_20260128_185025,10635,974,10.91889117043121,0.7541137752703339,3.3429158110882957,0.044071164
sha256,sha256_run_20260128_185446,12243,966,12.673913043478262,0.6031201502899616,3.4347826086956523,0.041851766
sha256,sha256_run_20260128_185946,10525,935,11.256684491978609,0.748978622327791,3.47379679144385,0.031057676
sha256,sha256_run_20260128_190440,10610,862,12.308584686774942,0.7577756833176249,3.4361948955916475,0.05165808
sha256,sha256_run_20260128_190818,10610,902,11.762749445676276,0.7520263901979265,3.5232815964523283,0.046251774
sha256,sha256_run_20260128_191204,12243,980,12.492857142857142,0.5993629012496937,3.3959183673469386,0.017638264
sha256,sha256_run_20260128_191623,9284,901,10.30410654827969,0.7503231365790608,3.362930077691454,0.03961812
sha256,sha256_run_20260128_192003,9244,854,10.824355971896955,0.7515144958892255,3.339578454332553,0.02310847
sha256,sha256_run_20260128_192408,10525,849,12.396937573616018,0.7454631828978623,3.663133097762073,0.042638663
sha256,sha256_run_20260128_192841,10672,894,11.937360178970918,0.7748313343328336,3.527964205816555,0.038666878
sha256,sha256_run_20260128_193313,9284,856,10.845794392523365,0.7531236535975873,3.5,0.023236837
sha256,sha256_run_20260128_193853,12243,953,12.846799580272823,0.5993629012496937,3.290661070304302,0.014261512
sha256,sha256_run_20260128_195541,9244,894,10.340044742729306,0.7475118996105582,3.315436241610738,0.046413172
sha256,sha256_run_20260128_200326,10610,964,11.006224066390041,0.7499528746465598,3.275933609958506,0.052272316
sha256,sha256_run_20260128_200941,10610,857,12.380396732788798,0.7445805843543827,3.414235705950992,0.06570669
sha256,sha256_run_20260128_201241,10610,919,11.545157780195865,0.7400565504241282,3.2709466811751904,0.041491877
sha256,sha256_run_20260128_201526,12243,947,12.92819429778247,0.5960957281711998,3.4635691657866947,0.01879622
sha256,sha256_run_20260128_201810,10610,860,12.337209302325581,0.7442978322337418,3.5395348837209304,0.036820948
sha256,sha256_run_20260128_202102,9206,922,9.984815618221258,0.7541820551814035,3.4338394793926246,0.023361687
sha256,sha256_run_20260128_202408,9206,854,10.779859484777518,0.7475559417771019,3.4121779859484778,0.030825824
sha256,sha256_run_20260128_203130,10635,859,12.380675203725263,0.7534555712270804,3.580908032596042,0.018137593
sha256,sha256_run_20260128_204719,12243,956,12.806485355648535,0.6027117536551498,3.50418410041841,0.025559956
sha256,sha256_run_20260128_205604,12243,969,12.634674922600619,0.6019766397124887,3.3766769865841075,0.01402505
sha256,sha256_run_20260128_210009,12243,891,13.74074074074074,0.6019766397124887,3.45679012345679,0.017245172
sha256,sha256_run_20260128_210415,10610,923,11.495124593716143,0.7466540999057493,3.3651137594799567,0.04974679
sha256,sha256_run_20260128_210805,10635,847,12.55608028335301,0.760319699106723,3.6953955135773318,0.012969763
sha256,sha256_run_20260128_211230,10672,840,12.704761904761904,0.7696776611694153,3.5880952380952382,0.03526825
sha256,sha256_run_20260128_211629,12243,906,13.513245033112582,0.6004247325002042,3.5033112582781456,0.017508453
sha256,sha256_run_20260128_212005,12243,940,13.024468085106383,0.5969125214408233,3.4106382978723406,0.01574946
sha256,sha256_run_20260128_212410,12243,948,12.914556962025317,0.5987094666339949,3.352320675105485,0.023830397
sha256,sha256_run_20260128_212808,12243,893,13.70996640537514,0.6004247325002042,3.637178051511758,0.02154292
sha256,sha256_run_20260128_213139,10525,863,12.195828505214369,0.7486935866983373,3.46234067207416,0.011220404
sha256,sha256_run_20260128_213559,10672,947,11.269271383315735,0.7678973013493253,3.457233368532207,0.039268244
sha256,sha256_run_20260128_214027,10525,915,11.502732240437158,0.7424228028503563,3.3617486338797815,0.03854687
sha256,sha256_run_20260128_214415,10525,870,12.097701149425287,0.749833729216152,3.5885057471264368,0.047736615
sha256,sha256_run_20260128_214802,10610,952,11.144957983193278,0.755325164938737,3.3004201680672267,0.0583624
sha256,sha256_run_20260128_215144,9284,800,11.605,0.7602326583369238,3.54,0.016673287
sha256,sha256_run_20260128_215528,10672,898,11.884187082405345,0.7697713643178411,3.4342984409799553,0.028188812
sha256,sha256_run_20260128_215921,9244,789,11.716096324461343,0.74762007788836,3.452471482889734,0.023135575
sha256,sha256_run_20260128_220236,9284,916,10.135371179039302,0.7490305902628177,3.2467248908296944,0.030878345
sha256,sha256_run_20260128_220624,12243,917,13.351145038167939,0.5959323695172751,3.474372955288986,0.02881749
sha256,sha256_run_20260129_080359,9284,889,10.443194600674916,0.7510771219302025,3.3340832395950506,0.033115767
sha256,sha256_run_20260129_080857,12243,921,13.29315960912052,0.6003430531732419,3.463626492942454,0.006913021
sha256,sha256_run_20260129_081610,9206,935,9.845989304812834,0.7546165544210298,3.409625668449198,0.045971382
